Question,Answer
est-ce que je suis sexy aujourd'hui,Je ne peux pas malheureusement pas vous voir à proprement parler.
je suis sexy aujourd'hui,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis sexy,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis sexy,Si votre ramage se rapporte à votre plumage.
est-ce que tu me trouves sexy physiquement,Si votre ramage se rapporte à votre plumage.
est-ce que tu me trouves sexy,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves sexy physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves sexy,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis stylé physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu penses que je suis stylée physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis comment,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis stylé,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis canon aujourd'hui,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis belle,Si votre ramage se rapporte à votre plumage.
tu penses que je suis beau,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu penses que je suis attirant,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis magnifique physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis stylée,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis attirante physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu penses que je suis comment physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu penses que je suis bien physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu penses que je suis jolie physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu penses que je suis belle physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis beau physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu penses que je suis bien,Si votre ramage se rapporte à votre plumage.
tu penses que je suis magnifique,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves moche,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis stylée aujourd'hui,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que tu me trouves stylé physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves stylée physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que tu me trouves magnifique physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves attirante physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves attirant physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que tu me trouves beau physiquement,Si votre ramage se rapporte à votre plumage.
est-ce que tu me trouves belle physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves jolie physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves bien physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves déguelasse,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves affreuse,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves affreux,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves beau,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu me trouves bien physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu me trouves jolie physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu me trouves belle physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves beau physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves bien,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves laide,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves laid,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves attirant,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves attirante,Si votre ramage se rapporte à votre plumage.
est-ce que tu me trouves magnifique,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves stylée,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves stylé,Si votre ramage se rapporte à votre plumage.
est-ce que tu me trouves laide physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves jolie,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis laide,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis sexy physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis attirante aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis attirant aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis beau aujourd'hui,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis belle aujourd'hui,Je ne peux pas malheureusement pas vous voir à proprement parler.
je suis jolie aujourd'hui,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis stylée,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je suis stylé,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis canon,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je suis attirante,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis attirant,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis beau,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis déguelasse,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que tu me trouves moche physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis attirante,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves affreux physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves affreuse physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que tu me trouves déguelasse physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis jolie,Je ne peux pas malheureusement pas vous voir à proprement parler.
je suis affreuse,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis attirant,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis affreux,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis canon,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis stylé,Je ne peux pas malheureusement pas vous voir à proprement parler.
je suis stylée,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis moche,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je suis laid,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis stylé aujourd'hui,Je n'ai pas eu la chance de pouvoir vous observer de près.
je suis beau,J'ai bien peur de ne pas avoir d'expertise en la matière.
je vous présente mes excuses,Tout va pour le mieux.
tu aurais l'obligeance de m'excuser,C'est oublié !
je suis vraiment navré,C'est oublié !
est-ce que tu aurais la grandeur d'esprit d'accepter mes excuses,C'est oublié !
aurais-tu la bonté d'accepter mes plus pates excuses,Pas de problème.
excusez-moi de vous déranger,C'est oublié !
excuse-moi du dérangement,Ne vous en faites pas.
je suis en tort,Aucun soucis.
je suis désolé,Pas de problème.
aurais-tu l'obligeance de me pardonner,Pas de problème.
bonjour excuse,Tout va pour le mieux.
excuse,Ne vous en faites pas.
bonsoir excuse de te déranger,Ne vous en faites pas.
bonsoir excuse,Ne vous en faites pas.
salut excusez-moi de vous déranger,C'est oublié !
salut excuse-moi de te déranger,Tout va pour le mieux.
salut excuse de te déranger,Pas de problème.
salut excuse,Pas de problème.
bonjour excusez-moi de vous déranger,Pas de problème.
bonsoir excusez-moi de vous déranger,Ne vous en faites pas.
bonjour excuse de te déranger,Tout va pour le mieux.
yo excuse,Pas de problème.
excusez-moi de vous déranger là,Ne vous en faites pas.
excuse-moi de te déranger là,C'est oublié !
excuse de te déranger là,Tout va pour le mieux.
excusez-moi de vous déranger comme ça,Tout va pour le mieux.
excuse-moi de te déranger comme ça,Pas de problème.
excuse de te déranger comme ça,Pas de problème.
excuse-moi de te déranger,Tout va pour le mieux.
excuse de te déranger,Aucun soucis.
bonjour excuse-moi de te déranger,Pas de problème.
excuse pour le dérangement,Ne vous en faites pas.
pardonne-moi de vous déranger,Tout va pour le mieux.
pardonnez-moi de vous déranger,Aucun soucis.
excuse-moi de vous déranger,Tout va pour le mieux.
pardon de vous déranger,C'est oublié !
excuse de vous déranger,C'est oublié !
pardonne-moi pour le dérangement,Aucun soucis.
pardonnez-moi pour le dérangement,C'est oublié !
excusez-moi pour le dérangement,C'est oublié !
bonsoir excuse-moi de te déranger,Pas de problème.
pardon pour le dérangement,Tout va pour le mieux.
pardonne-moi de te déranger,Aucun soucis.
pardonne-moi du dérangement,Pas de problème.
pardonnez-moi du dérangement,Aucun soucis.
excusez-moi du dérangement,Tout va pour le mieux.
pardon du dérangement,C'est oublié !
excuse du dérangement,C'est oublié !
yo excusez-moi de vous déranger,Pas de problème.
yo excuse-moi de te déranger,Pas de problème.
yo excuse de te déranger,Pas de problème.
excuse-moi pour le dérangement,Ne vous en faites pas.
aurais-tu la gentillesse d'accepter mes excuses,Pas de problème.
tu veux bien m'excuser,Pas de problème.
tu veux bien me pardonner,C'est oublié !
tu veux bien accepter mes excuses,Tout va pour le mieux.
tu veux bien accepter mes plus pates excuses,Tout va pour le mieux.
veux-tu m'excuser,C'est oublié !
veux-tu me pardonner,C'est oublié !
veux-tu accepter mes excuses,Aucun soucis.
veux-tu accepter mes plus pates excuses,Ne vous en faites pas.
veux-tu bien m'excuser,Aucun soucis.
veux-tu bien me pardonner,Pas de problème.
veux-tu bien accepter mes excuses,Aucun soucis.
veux-tu bien accepter mes plus pates excuses,Tout va pour le mieux.
aurais-tu l'obligeance d'accepter mes plus pates excuses,C'est oublié !
aurais-tu la gentillesse de me pardonner,Tout va pour le mieux.
tu veux me pardonner,Pas de problème.
aurais-tu la gentillesse d'accepter mes plus pates excuses,C'est oublié !
aurais-tu la grandeur d'esprit de m'excuser,Tout va pour le mieux.
aurais-tu la grandeur d'esprit de me pardonner,Tout va pour le mieux.
aurais-tu la grandeur d'esprit d'accepter mes excuses,Tout va pour le mieux.
aurais-tu la grandeur d'esprit d'accepter mes plus pates excuses,Aucun soucis.
aurais-tu la bonté de m'excuser,Aucun soucis.
aurais-tu la bonté de me pardonner,Ne vous en faites pas.
aurais-tu la bonté d'accepter mes excuses,C'est oublié !
aurais-tu l'obligeance de m'excuser,Aucun soucis.
je suis désolée,Pas de problème.
aurais-tu la gentillesse de m'excuser,C'est oublié !
je te demande de bien vouloir me pardonner,C'est oublié !
je suis navré,Aucun soucis.
je suis en faute,Aucun soucis.
je suis vraiment désolé,Ne vous en faites pas.
je suis vraiment désolée,C'est oublié !
je suis trop désolé,Tout va pour le mieux.
je suis trop navré,Tout va pour le mieux.
je suis contrit,Ne vous en faites pas.
je te demande pardon,Ne vous en faites pas.
je te demande de m'excuser,Tout va pour le mieux.
tu veux accepter mes plus pates excuses,Pas de problème.
je te demande de me pardonner,Ne vous en faites pas.
tu veux accepter mes excuses,Ne vous en faites pas.
je te présente des excuses,Aucun soucis.
je te présente mes excuses,Aucun soucis.
je te présente mes plus plates excuses,C'est oublié !
